full_name,age,birthday_GMT,league,position,Current Club,nationality,gender
Jonjo Shelvey,30,2/27/1992,Premier League,Midfielder,Newcastle United,England,MALE
Jonjoe Kenny,25,3/15/1997,Premier League,Defender,Everton,England,MALE
Jonny,28,3/3/1994,Premier League,Defender,Wolverhampton Wanderers,Spain,MALE
Jonny Evans,34,1/3/1988,Premier League,Defender,Leicester City,Northern Ireland,MALE
Jordan Ayew,31,9/11/1991,Premier League,Forward,Crystal Palace,Ghana,MALE
Jordan Henderson,32,6/17/1990,Premier League,Midfielder,Liverpool,England,MALE
Jordan Pickford,28,3/7/1994,Premier League,Goalkeeper,Everton,England,MALE
Jordon Ibe,26,12/8/1995,Premier League,Midfielder,AFC Bournemouth,England,MALE
Jorginho,30,12/20/1991,Premier League,Midfielder,Chelsea,Italy,MALE
José Holebas,38,6/27/1984,Premier League,Defender,Watford,Greece,MALE
Jose Izquierdo,30,7/7/1992,Premier League,Forward,Brighton & Hove Albion,Colombia,MALE
Joselu,32,3/27/1990,Premier League,Forward,Newcastle United,Spain,MALE
Joseph Willock,23,8/20/1999,Premier League,Midfielder,Arsenal,England,MALE
Josh Benson,22,12/5/1999,Premier League,Midfielder,Burnley,England,MALE
Josh Knight,25,9/7/1997,Premier League,Defender,Leicester City,England,MALE
Josh Murphy,27,2/24/1995,Premier League,Forward,Cardiff City,England,MALE
Joshua King,30,1/15/1992,Premier League,Forward,AFC Bournemouth,Norway,MALE
Joshua Sims,25,3/28/1997,Premier League,Midfielder,Southampton,England,MALE
Juan Foyth,24,1/12/1998,Premier League,Defender,Tottenham Hotspur,Argentina,MALE
Juan Mata,34,4/28/1988,Premier League,Midfielder,Manchester United,Spain,MALE
Julián Speroni,43,5/18/1979,Premier League,Goalkeeper,Crystal Palace,Argentina,MALE
Juninho Bacuna,25,8/7/1997,Premier League,Midfielder,Huddersfield Town,Netherlands,MALE
Junior Stanislas,32,11/26/1989,Premier League,Midfielder,AFC Bournemouth,England,MALE
Jürgen Locadia,28,11/7/1993,Premier League,Forward,Brighton & Hove Albion,Netherlands,MALE
Kadeem Harris,29,6/8/1993,Premier League,Midfielder,Cardiff City,England,MALE
Karl Darlow,32,10/8/1990,Premier League,Goalkeeper,Newcastle United,England,MALE
Karlan Ahearne-Grant,24,12/19/1997,Premier League,Forward,Huddersfield Town,England,MALE
Kasper Schmeichel,35,11/5/1986,Premier League,Goalkeeper,Leicester City,Denmark,MALE
Kayne Ramsey,22,10/10/2000,Premier League,Midfielder,Southampton,England,MALE
Kazaiah Sterling,23,11/9/1998,Premier League,Forward,Tottenham Hotspur,England,MALE
Kelechi Iheanacho,26,10/3/1996,Premier League,Forward,Leicester City,Nigeria,MALE
Kelland Watts,23,11/3/1999,Premier League,Midfielder,Newcastle United,England,MALE
Ken Sema,29,9/30/1993,Premier League,Midfielder,Watford,Sweden,MALE
Kenneth Dahrup Zohorè,28,1/31/1994,Premier League,Forward,Cardiff City,Denmark,MALE
Kepa Arrizabalaga,28,10/3/1994,Premier League,Goalkeeper,Chelsea,Spain,MALE
Kevin De Bruyne,31,6/28/1991,Premier League,Midfielder,Manchester City,Belgium,MALE
Kevin Long,32,8/18/1990,Premier League,Defender,Burnley,Republic of Ireland,MALE
Kevin McDonald,33,11/4/1988,Premier League,Midfielder,Fulham,Scotland,MALE
Ki Sung-yueng,33,1/24/1989,Premier League,Midfielder,Newcastle United,South Korea,MALE
Kieran Dowell,25,10/10/1997,Premier League,Midfielder,Everton,England,MALE
Kieran Trippier,32,9/19/1990,Premier League,Defender,Tottenham Hotspur,England,MALE
Kiko Femenía,31,2/2/1991,Premier League,Midfielder,Watford,Spain,MALE
Konstantinos Mavropanos,24,12/11/1997,Premier League,Defender,Arsenal,Greece,MALE
Kortney Hause,27,7/16/1995,Premier League,Defender,Wolverhampton Wanderers,England,MALE
Kurt Zouma,28,10/27/1994,Premier League,Defender,Everton,France,MALE
Kyle Taylor,23,8/28/1999,Premier League,Midfielder,AFC Bournemouth,England,MALE
Kyle Walker,32,5/28/1990,Premier League,Defender,Manchester City,England,MALE
Kyle Walker-Peters,25,4/13/1997,Premier League,Defender,Tottenham Hotspur,England,MALE
Laurent Depoitre,33,12/7/1988,Premier League,Forward,Huddersfield Town,Belgium,MALE
Laurent Koscielny,37,9/10/1985,Premier League,Defender,Arsenal,France,MALE
Lazar Markovi?,28,3/2/1994,Premier League,Midfielder,Fulham,Serbia,MALE
Leander Dendoncker,27,4/15/1995,Premier League,Midfielder,Wolverhampton Wanderers,Belgium,MALE
Leandro Bacuna,31,8/21/1991,Premier League,Midfielder,Cardiff City,Curaçao,MALE
Lee Grant,39,1/27/1983,Premier League,Goalkeeper,Manchester United,England,MALE
Lee Peltier,35,12/11/1986,Premier League,Defender,Cardiff City,England,MALE
Leighton Baines,37,12/11/1984,Premier League,Defender,Everton,England,MALE
Leon Balogun,34,6/28/1988,Premier League,Defender,Brighton & Hove Albion,Nigeria,MALE
Leonardo Bonatini Lohner Maia,28,3/28/1994,Premier League,Forward,Wolverhampton Wanderers,Brazil,MALE
Leroy Sané,26,1/11/1996,Premier League,Midfielder,Manchester City,Germany,MALE
Lewis Cass,22,2/27/2000,Premier League,Defender,Newcastle United,England,MALE
Lewis Cook,25,2/3/1997,Premier League,Midfielder,AFC Bournemouth,England,MALE
Lewis Dunk,30,11/21/1991,Premier League,Defender,Brighton & Hove Albion,England,MALE
Loïc Damour,31,1/8/1991,Premier League,Midfielder,Cardiff City,France,MALE
Loris Karius,29,6/22/1993,Premier League,Goalkeeper,Liverpool,Germany,MALE
Luca de la Torre,24,5/23/1998,Premier League,Midfielder,Fulham,USA,MALE
Lucas Digne,29,7/20/1993,Premier League,Defender,Everton,France,MALE
Lucas Moura,30,8/13/1992,Premier League,Midfielder,Tottenham Hotspur,Brazil,MALE
Lucas Perez,34,9/10/1988,Premier League,Forward,West Ham United,Spain,MALE
Lucas Torreira,26,2/11/1996,Premier League,Midfielder,Arsenal,Uruguay,MALE
Luciano Vietto,28,12/5/1993,Premier League,Forward,Fulham,Argentina,MALE
Luka Milivojevi?,31,4/7/1991,Premier League,Midfielder,Crystal Palace,Serbia,MALE
Luke Amos,25,2/23/1997,Premier League,Midfielder,Tottenham Hotspur,England,MALE
Luke Dreher,23,11/27/1998,Premier League,Midfielder,Crystal Palace,England,MALE
Luke Shaw,27,7/12/1995,Premier League,Defender,Manchester United,England,MALE
Lys Mousset,26,2/8/1996,Premier League,Forward,AFC Bournemouth,France,MALE
Maarten Stekelenburg,40,9/22/1982,Premier League,Goalkeeper,Everton,Netherlands,MALE
Mamadou Sakho,32,2/13/1990,Premier League,Defender,Crystal Palace,France,MALE
Manolo Gabbiadini,30,11/26/1991,Premier League,Forward,Southampton,Italy,MALE
Manuel Lanzini,29,2/15/1993,Premier League,Midfielder,West Ham United,Argentina,MALE
Marc Albrighton,32,11/18/1989,Premier League,Midfielder,Leicester City,England,MALE
Marc Guehi,22,7/13/2000,Premier League,Defender,Chelsea,England,MALE
Marc Navarro Ceciliano,27,7/2/1995,Premier League,Defender,Watford,Spain,MALE
Marc Pugh,35,4/2/1987,Premier League,Midfielder,AFC Bournemouth,England,MALE
Marcos Alonso,31,12/28/1990,Premier League,Defender,Chelsea,Spain,MALE
Marcus Bettinelli,30,5/24/1992,Premier League,Goalkeeper,Fulham,England,MALE
Marcus Rashford,25,10/31/1997,Premier League,Forward,Manchester United,England,MALE
Mario Lemina,29,9/1/1993,Premier League,Midfielder,Southampton,Gabon,MALE
Mark Noble,35,5/8/1987,Premier League,Midfielder,West Ham United,England,MALE
Mark Travers,23,5/18/1999,Premier League,Goalkeeper,AFC Bournemouth,Republic of Ireland,MALE
Marko Arnautovi?,33,4/19/1989,Premier League,Forward,West Ham United,Austria,MALE
Markus Suttner,35,4/16/1987,Premier League,Defender,Brighton & Hove Albion,Austria,MALE
Marouane Fellaini,34,11/22/1987,Premier League,Midfielder,Manchester United,Belgium,MALE
Martin Dúbravka,33,1/15/1989,Premier League,Goalkeeper,Newcastle United,Slovakia,MALE
Martin Kelly,32,4/27/1990,Premier League,Defender,Crystal Palace,England,MALE
Martín Montoya,31,4/14/1991,Premier League,Defender,Brighton & Hove Albion,Spain,MALE
Mason Greenwood,21,10/1/2001,Premier League,Midfielder,Manchester United,England,MALE
Mason Holgate,26,10/22/1996,Premier League,Defender,Everton,England,MALE
Mat?j Vydra,30,5/1/1992,Premier League,Forward,Burnley,Czech Republic,MALE
Mateo Kova?i?,28,5/6/1994,Premier League,Midfielder,Chelsea,Croatia,MALE
Mathew Ryan,30,4/8/1992,Premier League,Goalkeeper,Brighton & Hove Albion,Australia,MALE
Mathias Jørgensen,32,4/23/1990,Premier League,Defender,Huddersfield Town,Denmark,MALE
Matt Butcher,25,5/14/1997,Premier League,Midfielder,AFC Bournemouth,England,MALE
Matt Doherty,30,1/16/1992,Premier League,Defender,Wolverhampton Wanderers,Republic of Ireland,MALE
Matt Ritchie,33,9/10/1989,Premier League,Midfielder,Newcastle United,Scotland,MALE
Matt Targett,27,9/18/1995,Premier League,Defender,Southampton,England,MALE
Matteo Darmian,32,12/2/1989,Premier League,Defender,Manchester United,Italy,MALE
Matteo Guendouzi,23,4/14/1999,Premier League,Midfielder,Arsenal,France,MALE
Matthew Connolly,35,9/24/1987,Premier League,Defender,Cardiff City,England,MALE
Matthew Lowton,33,6/9/1989,Premier League,Defender,Burnley,England,MALE
Matty Daly,21,3/10/2001,Premier League,Midfielder,Huddersfield Town,England,MALE
Max Harrison Sanders,23,1/4/1999,Premier League,Midfielder,Brighton & Hove Albion,England,MALE
Max Kilman,25,5/23/1997,Premier League,Defender,Wolverhampton Wanderers,England,MALE
Max Meyer,27,9/18/1995,Premier League,Midfielder,Crystal Palace,Germany,MALE
Maxime Le Marchand,33,10/11/1989,Premier League,Defender,Fulham,France,MALE
Maya Yoshida,34,8/24/1988,Premier League,Defender,Southampton,Japan,MALE
Mesut Özil,34,10/15/1988,Premier League,Midfielder,Arsenal,Germany,MALE
Michael Keane,29,1/11/1993,Premier League,Defender,Everton,England,MALE
Michael Obafemi,22,7/6/2000,Premier League,Forward,Southampton,Republic of Ireland,MALE
Michail Antonio,32,3/28/1990,Premier League,Midfielder,West Ham United,England,MALE
Michel Vorm,39,10/20/1983,Premier League,Goalkeeper,Tottenham Hotspur,Netherlands,MALE
Michy Batshuayi,29,10/2/1993,Premier League,Forward,Crystal Palace,Belgium,MALE
Miguel Almirón,28,2/10/1994,Premier League,Midfielder,Newcastle United,Paraguay,MALE
Miguel Ángel Britos Cabrera,37,7/17/1985,Premier League,Defender,Watford,Uruguay,MALE
Mohamed Diamé,35,6/14/1987,Premier League,Midfielder,Newcastle United,Senegal,MALE
Mohamed Elneny,30,7/11/1992,Premier League,Midfielder,Arsenal,Egypt,MALE
Mohamed Elyounoussi,28,8/4/1994,Premier League,Midfielder,Southampton,Norway,MALE
Mohamed Salah,30,6/15/1992,Premier League,Forward,Liverpool,Egypt,MALE
Morgan Gibbs-White,22,1/27/2000,Premier League,Midfielder,Wolverhampton Wanderers,England,MALE
Morgan Schneiderlin,32,11/8/1989,Premier League,Midfielder,Everton,France,MALE
Moussa Dembele,35,7/16/1987,Premier League,Midfielder,Tottenham Hotspur,Belgium,MALE
Moussa Sissoko,33,8/16/1989,Premier League,Midfielder,Tottenham Hotspur,France,MALE
N'Golo Kanté,31,3/29/1991,Premier League,Midfielder,Chelsea,France,MALE
Naby Keïta,27,2/10/1995,Premier League,Midfielder,Liverpool,Guinea,MALE
Nacho Monreal,36,2/26/1986,Premier League,Defender,Arsenal,Spain,MALE
Nampalys Mendy,30,6/23/1992,Premier League,Midfielder,Leicester City,France,MALE
Nathan Aké,27,2/18/1995,Premier League,Defender,AFC Bournemouth,Netherlands,MALE
Nathan Holland,24,6/19/1998,Premier League,Midfielder,West Ham United,England,MALE
Nathan Redmond,28,3/6/1994,Premier League,Midfielder,Southampton,England,MALE
Nathaniel Chalobah,27,12/12/1994,Premier League,Midfielder,Watford,England,MALE
Nathaniel Clyne,31,4/5/1991,Premier League,Defender,AFC Bournemouth,England,MALE
Nathaniel Mendez-Laing,30,4/15/1992,Premier League,Midfielder,Cardiff City,England,MALE
Neeskens Kebano,30,3/10/1992,Premier League,Midfielder,Fulham,Congo DR,MALE
Neil Leonard Dula Etheridge,32,2/7/1990,Premier League,Goalkeeper,Cardiff City,Philippines,MALE
Nemanja Mati?,34,8/1/1988,Premier League,Midfielder,Manchester United,Serbia,MALE
Nicolas Otamendi,34,2/12/1988,Premier League,Defender,Manchester City,Argentina,MALE
Nikola Tavares,23,1/17/1999,Premier League,Defender,Crystal Palace,England,MALE
Nnamdi Ofoborh,22,11/7/1999,Premier League,Midfielder,AFC Bournemouth,England,MALE
Oleksandr Zinchenko,25,12/15/1996,Premier League,Midfielder,Manchester City,Ukraine,MALE
Oliver Skipp,22,9/16/2000,Premier League,Midfielder,Tottenham Hotspur,England,MALE
Olivier Giroud,36,9/30/1986,Premier League,Forward,Chelsea,France,MALE
Oriol Romeu,31,9/24/1991,Premier League,Midfielder,Southampton,Spain,MALE
Oumar Niasse,32,4/18/1990,Premier League,Forward,Cardiff City,Senegal,MALE
Pablo Zabaleta,37,1/16/1985,Premier League,Defender,West Ham United,Argentina,MALE
Pape N'Diaye Souaré,32,6/6/1990,Premier League,Defender,Crystal Palace,Senegal,MALE
Pascal Groß,31,6/15/1991,Premier League,Midfielder,Brighton & Hove Albion,Germany,MALE
Patrick van Aanholt,32,8/29/1990,Premier League,Defender,Crystal Palace,Netherlands,MALE
Paul Dummett,31,9/26/1991,Premier League,Defender,Newcastle United,Wales,MALE
Paul Pogba,29,3/15/1993,Premier League,Midfielder,Manchester United,France,MALE
Paulo Gazzaniga,30,1/2/1992,Premier League,Goalkeeper,Tottenham Hotspur,Argentina,MALE
Pedro Obiang,30,3/27/1992,Premier League,Midfielder,West Ham United,Equatorial Guinea,MALE
Pedro Rodriguez,35,7/28/1987,Premier League,Midfielder,Chelsea,Spain,MALE
Peter Crouch,41,1/30/1981,Premier League,Forward,Burnley,England,MALE
Petr ?ech,40,5/20/1982,Premier League,Goalkeeper,Arsenal,Czech Republic,MALE
Phil Bardsley,37,6/28/1985,Premier League,Defender,Burnley,Scotland,MALE
Phil Foden,22,5/28/2000,Premier League,Midfielder,Manchester City,England,MALE
Phil Jagielka,40,8/17/1982,Premier League,Defender,Everton,England,MALE
Phil Jones,30,2/21/1992,Premier League,Defender,Manchester United,England,MALE
Philip Billing,26,6/11/1996,Premier League,Midfielder,Huddersfield Town,Denmark,MALE
Philippe Sandler,25,2/10/1997,Premier League,Defender,Manchester City,Netherlands,MALE
Pierre-Emerick Aubameyang,33,6/18/1989,Premier League,Forward,Arsenal,Gabon,MALE
Pierre-Emile Højbjerg,27,8/5/1995,Premier League,Midfielder,Southampton,Denmark,MALE
Rachid Ghezzal,30,5/9/1992,Premier League,Forward,Leicester City,Algeria,MALE
Rafael Euclides Soares Camacho,22,5/22/2000,Premier League,Midfielder,Liverpool,Portugal,MALE
Raheem Sterling,27,12/8/1994,Premier League,Forward,Manchester City,England,MALE
Rajiv van La Parra,31,6/4/1991,Premier League,Midfielder,Huddersfield Town,Netherlands,MALE
Ramadan Sobhi,25,1/23/1997,Premier League,Forward,Huddersfield Town,Egypt,MALE
Raúl Jiménez,31,5/5/1991,Premier League,Forward,Wolverhampton Wanderers,Mexico,MALE
Rhys Healey,27,12/6/1994,Premier League,Forward,Cardiff City,England,MALE
Ricardo Pereira,29,10/6/1993,Premier League,Defender,Leicester City,Portugal,MALE
Richarlison,25,5/10/1997,Premier League,Forward,Everton,Brazil,MALE
Riyad Mahrez,31,2/21/1991,Premier League,Midfielder,Manchester City,Algeria,MALE
Rob Holding,27,9/20/1995,Premier League,Defender,Arsenal,England,MALE
Robbie Brady,30,1/14/1992,Premier League,Midfielder,Burnley,Republic of Ireland,MALE
Robert Kenedy Nunes do Nascimento,26,2/8/1996,Premier League,Midfielder,Newcastle United,Brazil,MALE
Robert Snodgrass,35,9/7/1987,Premier League,Midfielder,West Ham United,Scotland,MALE
Roberto Firmino,31,10/2/1991,Premier League,Forward,Liverpool,Brazil,MALE
Roberto Pereyra,31,1/7/1991,Premier League,Forward,Watford,Argentina,MALE
Romain Saïss,32,3/26/1990,Premier League,Midfielder,Wolverhampton Wanderers,Morocco,MALE
Romelu Lukaku,29,5/13/1993,Premier League,Forward,Manchester United,Belgium,MALE
Rondon,33,9/16/1989,Premier League,Forward,Newcastle United,Venezuela,MALE
Ross Barkley,28,12/5/1993,Premier League,Midfielder,Chelsea,England,MALE
Ruben Loftus-Cheek,26,1/23/1996,Premier League,Midfielder,Chelsea,England,MALE
Rúben Neves,25,3/13/1997,Premier League,Midfielder,Wolverhampton Wanderers,Portugal,MALE
Ruben Vinagre,23,4/9/1999,Premier League,Defender,Wolverhampton Wanderers,Portugal,MALE
Rui Patrício,34,2/15/1988,Premier League,Goalkeeper,Wolverhampton Wanderers,Portugal,MALE
Ryan Bennett,32,3/6/1990,Premier League,Defender,Wolverhampton Wanderers,England,MALE
Ryan Bertrand,33,8/5/1989,Premier League,Defender,Southampton,England,MALE
Ryan Fraser,28,2/24/1994,Premier League,Midfielder,AFC Bournemouth,Scotland,MALE
Ryan Fredericks,30,10/10/1992,Premier League,Midfielder,West Ham United,England,MALE
Ryan Giles,22,1/26/2000,Premier League,Midfielder,Wolverhampton Wanderers,England,MALE
Ryan Guno Babel,35,12/19/1986,Premier League,Forward,Fulham,Netherlands,MALE
Ryan Schofield,22,12/11/1999,Premier League,Goalkeeper,Huddersfield Town,England,MALE
Ryan Sessegnon,22,5/18/2000,Premier League,Defender,Fulham,England,MALE
Sadio Mané,30,4/10/1992,Premier League,Forward,Liverpool,Senegal,MALE
Sam Gallagher,27,9/15/1995,Premier League,Forward,Southampton,England,MALE
Sam Surridge,24,7/28/1998,Premier League,Forward,AFC Bournemouth,England,MALE
Sam Vokes,33,10/21/1989,Premier League,Forward,Burnley,Wales,MALE
Sam Woods,24,9/11/1998,Premier League,Defender,Crystal Palace,England,MALE
Samir Nasri,35,6/26/1987,Premier League,Midfielder,West Ham United,France,MALE
Sandro Ramirez,27,7/9/1995,Premier League,Forward,Everton,Spain,MALE
Scott Dann,35,2/14/1987,Premier League,Defender,Crystal Palace,England,MALE
Scott McTominay,25,12/8/1996,Premier League,Midfielder,Manchester United,England,MALE
Sead Kolašinac,29,6/20/1993,Premier League,Defender,Arsenal,Bosnia and Herzegovina,MALE
Séamus Coleman,34,10/11/1988,Premier League,Defender,Everton,Republic of Ireland,MALE
Sean Longstaff,25,10/30/1997,Premier League,Midfielder,Newcastle United,England,MALE
Sean Morrison,31,1/8/1991,Premier League,Defender,Cardiff City,England,MALE
Sebastian Prödl,35,6/21/1987,Premier League,Defender,Watford,Austria,MALE
Serge Aurier,29,12/24/1992,Premier League,Defender,Tottenham Hotspur,Ivory Coast,MALE
Sergio Aguero,34,6/2/1988,Premier League,Forward,Manchester City,Argentina,MALE
Sergio Rico,29,9/1/1993,Premier League,Goalkeeper,Fulham,Spain,MALE
Sergio Romero,35,2/22/1987,Premier League,Goalkeeper,Manchester United,Argentina,MALE
Shane Duffy,30,1/1/1992,Premier League,Defender,Brighton & Hove Albion,Republic of Ireland,MALE
Shane Long,35,1/22/1987,Premier League,Forward,Southampton,Republic of Ireland,MALE
Shinji Okazaki,36,4/16/1986,Premier League,Forward,Leicester City,Japan,MALE
Shkodran Mustafi,30,4/17/1992,Premier League,Defender,Arsenal,Germany,MALE
Simon Francis,37,2/16/1985,Premier League,Defender,AFC Bournemouth,England,MALE
Simon Mignolet,34,3/6/1988,Premier League,Goalkeeper,Liverpool,Belgium,MALE
Sokratis Papastathopoulos,34,6/9/1988,Premier League,Defender,Arsenal,Greece,MALE
Solly March,28,7/20/1994,Premier League,Midfielder,Brighton & Hove Albion,England,MALE
Souleymane Bamba,37,1/13/1985,Premier League,Defender,Cardiff City,Ivory Coast,MALE
Stefan Marius Johansen,31,1/8/1991,Premier League,Midfielder,Fulham,Norway,MALE
Stefano Okaka,33,8/9/1989,Premier League,Forward,Watford,Italy,MALE
Stephan Lichtsteiner,38,1/16/1984,Premier League,Defender,Arsenal,Switzerland,MALE
Stephen Ward,37,8/20/1985,Premier League,Defender,Burnley,Republic of Ireland,MALE
Steve Cook,31,4/19/1991,Premier League,Defender,AFC Bournemouth,England,MALE
Steve Mounié,28,9/29/1994,Premier League,Forward,Huddersfield Town,Benin,MALE
Steven Davis,37,1/1/1985,Premier League,Midfielder,Southampton,Northern Ireland,MALE
Steven Defour,34,4/15/1988,Premier League,Midfielder,Burnley,Belgium,MALE
Stuart Armstrong,30,3/30/1992,Premier League,Midfielder,Southampton,Scotland,MALE
Sullay Kaikai,27,8/26/1995,Premier League,Midfielder,Crystal Palace,England,MALE
Tahith Chong,22,12/4/1999,Premier League,Forward,Manchester United,Netherlands,MALE
Terence Kongolo,28,2/14/1994,Premier League,Defender,Huddersfield Town,Netherlands,MALE
Theo Walcott,33,3/16/1989,Premier League,Forward,Everton,England,MALE
Tim Ream,35,10/5/1987,Premier League,Defender,Fulham,USA,MALE
Timothy Eyoma,22,1/29/2000,Premier League,Defender,Tottenham Hotspur,England,MALE
Timothy Fosu-Mensah,24,1/2/1998,Premier League,Defender,Fulham,Netherlands,MALE
Toby Alderweireld,33,3/2/1989,Premier League,Defender,Tottenham Hotspur,Belgium,MALE
Tom Cairney,31,1/20/1991,Premier League,Midfielder,Fulham,Scotland,MALE
Tom Cleverley,33,8/12/1989,Premier League,Midfielder,Watford,England,MALE
Tom Davies,24,6/30/1998,Premier League,Midfielder,Everton,England,MALE
Tom Heaton,36,4/15/1986,Premier League,Goalkeeper,Burnley,England,MALE
Tom Smith,30,4/14/1992,Premier League,Defender,Huddersfield Town,England,MALE
Trent Alexander-Arnold,24,10/7/1998,Premier League,Defender,Liverpool,England,MALE
Troy Deeney,34,6/29/1988,Premier League,Forward,Watford,England,MALE
Tyias Browning,28,5/27/1994,Premier League,Defender,Everton,England,MALE
Tyreke Johnson,24,11/3/1998,Premier League,Defender,Southampton,England,MALE
Tyrone Mings,29,3/13/1993,Premier League,Defender,AFC Bournemouth,England,MALE
Vicente Guaita,35,1/10/1987,Premier League,Goalkeeper,Crystal Palace,Spain,MALE
Vicente Iborra De La Fuente,34,1/16/1988,Premier League,Midfielder,Leicester City,Spain,MALE
Víctor Camarasa,28,5/28/1994,Premier League,Midfielder,Cardiff City,Spain,MALE
Victor Lindelöf,28,7/17/1994,Premier League,Defender,Manchester United,Sweden,MALE
Victor Moses,31,12/12/1990,Premier League,Midfielder,Chelsea,Nigeria,MALE
Victor Wanyama,31,6/25/1991,Premier League,Midfielder,Tottenham Hotspur,Kenya,MALE
Viktor Gyökeres,24,6/4/1998,Premier League,Forward,Brighton & Hove Albion,Sweden,MALE
Vincent Janssen,28,6/15/1994,Premier League,Forward,Tottenham Hotspur,Netherlands,MALE
Vincent Kompany,36,4/10/1986,Premier League,Defender,Manchester City,Belgium,MALE
Virgil van Dijk,31,7/8/1991,Premier League,Defender,Liverpool,Netherlands,MALE
Wayne Hennessey,35,1/24/1987,Premier League,Goalkeeper,Crystal Palace,Wales,MALE
Wes Morgan,38,1/21/1984,Premier League,Defender,Leicester City,Jamaica,MALE
Wesley Hoedt,28,3/6/1994,Premier League,Defender,Southampton,Netherlands,MALE
Wilfred Ndidi,25,12/16/1996,Premier League,Midfielder,Leicester City,Nigeria,MALE
Wilfried Zaha,29,11/10/1992,Premier League,Midfielder,Crystal Palace,Ivory Coast,MALE
Will Hughes,27,4/17/1995,Premier League,Midfielder,Watford,England,MALE
Will Norris,29,8/12/1993,Premier League,Goalkeeper,Wolverhampton Wanderers,England,MALE
Willian,34,8/9/1988,Premier League,Forward,Chelsea,Brazil,MALE
Willy Boly,31,2/3/1991,Premier League,Defender,Wolverhampton Wanderers,France,MALE
Willy Caballero,41,9/28/1981,Premier League,Goalkeeper,Chelsea,Argentina,MALE
Xherdan Shaqiri,31,10/10/1991,Premier League,Midfielder,Liverpool,Switzerland,MALE
Yan Valery,23,2/22/1999,Premier League,Defender,Southampton,France,MALE
Yerry Mina,28,9/23/1994,Premier League,Defender,Everton,Colombia,MALE
Yoshinori Muto,30,7/15/1992,Premier League,Forward,Newcastle United,Japan,MALE
Youri Tielemans,25,5/7/1997,Premier League,Midfielder,Leicester City,Belgium,MALE
Yves Bissouma,26,8/30/1996,Premier League,Midfielder,Brighton & Hove Albion,Mali,MALE
Zechariah Medley,22,7/7/2000,Premier League,Defender,Arsenal,England,MALE
Zeze  Steven Sessegnon,22,5/18/2000,Premier League,Defender,Fulham,England,MALE
?ukasz Fabia?ski,37,4/18/1985,Premier League,Goalkeeper,West Ham United,Poland,MALE
